dataset,pred_len,baseline_overall_mse,expert_overall_mse,gated_overall_mse,baseline_event_mse,expert_event_mse,gated_event_mse,event_reduction_pct,overall_delta,overall_delta_pct,selected_reason,selected_epoch,selection_metric,overall_mse_tolerance,event_weight,use_peak_shape_loss,learning_rate,status,event_points,total_prediction_elements,event_ratio,event_ratio_pct,baseline_non_event_mse,gated_non_event_mse,non_event_delta,non_event_delta_pct,expected_overall_delta_from_event,observed_overall_delta,delta_match_error,baseline_dir,expert_dir,gated_dir
ETTh1,96,0.3838268518447876,0.3765048384666443,0.3838021159172058,0.13656276066955728,0.08836722373870354,0.08836722373870354,35.29185899183242,-2.473592758178711e-05,-0.006444553699903688,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,960,1871520,0.0005129520389843549,0.05129520389843549,0.3839535713195801,0.3839535713195801,0.0,0.0,-2.4721998938627203e-05,-2.473592758178711e-05,-1.3928643159906077e-08,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl96_etth1_gpt55_peak_transfer_p96_baseline_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl96_etth1_gpt55_peak_transfer_p96_finetune_loss_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl96_etth1_gpt55_peak_transfer_p96_gated_alpha_1p0_0
ETTh1,192,0.4189850986003876,0.41781213879585266,0.41898101568222046,0.2050977547952778,0.19750990867511878,0.19750990867511878,3.699624175668321,-4.082918167114258e-06,-0.0009744781331730352,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,1920,3614016,0.0005312649418264889,0.05312649418264889,0.41909873485565186,0.41909873485565186,0.0,0.0,-4.031156627614637e-06,-4.082918167114258e-06,-5.176153949962112e-08,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl192_etth1_gpt55_peak_transfer_p192_baseline_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl192_etth1_gpt55_peak_transfer_p192_finetune_loss_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl192_etth1_gpt55_peak_transfer_p192_gated_alpha_1p0_0
ETTh1,336,0.44573020935058594,0.44685912132263184,0.4457361400127411,0.3199314662378871,0.33036593482509563,0.33036593482509563,-3.261469936017459,5.930662155151367e-06,0.001330549743036745,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,3360,5985840,0.000561324726354196,0.056132472635419595,0.4458007514476776,0.4458007514476776,0.0,0.0,5.857125224366284e-06,5.930662155151367e-06,7.35369307850828e-08,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl336_etth1_gpt55_peak_transfer_p336_baseline_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl336_etth1_gpt55_peak_transfer_p336_finetune_loss_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl336_etth1_gpt55_peak_transfer_p336_gated_alpha_1p0_0
ETTh1,720,0.49333545565605164,0.5010439157485962,0.4933576285839081,0.583619372226968,0.6288627560387416,0.6288627560387416,-7.752207340057003,2.2172927856445312e-05,0.004494493067999566,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,5355,10891440,0.000491670522906062,0.0491670522906062,0.49329087138175964,0.49329087138175964,0.0,0.0,2.2244838176774395e-05,2.2172927856445312e-05,-7.191032032908274e-08,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl720_etth1_gpt55_peak_transfer_p720_baseline_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl720_etth1_gpt55_peak_transfer_p720_finetune_loss_0,results\long_term_forecast_DLinear_ETTh1_ftM_sl336_ll48_pl720_etth1_gpt55_peak_transfer_p720_gated_alpha_1p0_0
ETTh2,96,0.29261037707328796,0.28848031163215637,0.2926023006439209,0.101615066881239,0.0972318296076469,0.0972318296076469,4.3135702294177936,-8.07642936706543e-06,-0.0027601308770545023,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,3456,1871520,0.001846627340343678,0.18466273403436778,0.29296359419822693,0.29296359419822693,0.0,0.0,-8.094205788628663e-06,-8.07642936706543e-06,1.777642156323369e-08,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl96_etth2_gpt55_peak_transfer_p96_baseline_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl96_etth2_gpt55_peak_transfer_p96_finetune_loss_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl96_etth2_gpt55_peak_transfer_p96_gated_alpha_1p0_0
ETTh2,192,0.37314334511756897,0.36642926931381226,0.3731246292591095,0.18892455984017625,0.1791369296883711,0.1791369296883711,5.180708193834166,-1.8715858459472656e-05,-0.005015728862476622,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,6912,3614016,0.00191255379057536,0.191255379057536,0.37349623441696167,0.37349623441696167,0.0,0.0,-1.8719369147584613e-05,-1.8715858459472656e-05,3.510688111956438e-09,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl192_etth2_gpt55_peak_transfer_p192_baseline_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl192_etth2_gpt55_peak_transfer_p192_finetune_loss_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl192_etth2_gpt55_peak_transfer_p192_gated_alpha_1p0_0
ETTh2,336,0.4753992259502411,0.4507197439670563,0.47534751892089844,0.29822643219453887,0.27245859620409846,0.27245859620409846,8.640359541850252,-5.170702934265137e-05,-0.010876548913031553,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,12096,5985840,0.0020207690148751054,0.20207690148751054,0.4757578372955322,0.4757578372955322,0.0,0.0,-5.207084454986556e-05,-5.170702934265137e-05,3.638152072141956e-07,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl336_etth2_gpt55_peak_transfer_p336_baseline_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl336_etth2_gpt55_peak_transfer_p336_finetune_loss_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl336_etth2_gpt55_peak_transfer_p336_gated_alpha_1p0_0
ETTh2,720,0.6597790718078613,0.5930711030960083,0.659649670124054,0.46579966758760566,0.39587627087345745,0.39587627087345745,15.011474155034108,-0.00012940168380737305,-0.01961288093797813,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,20151,10891440,0.0018501685727507107,0.18501685727507106,0.6601381897926331,0.6601381897926331,0.0,0.0,-0.00012937007110049733,-0.00012940168380737305,-3.16127068757143e-08,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl720_etth2_gpt55_peak_transfer_p720_baseline_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl720_etth2_gpt55_peak_transfer_p720_finetune_loss_0,results\long_term_forecast_DLinear_ETTh2_ftM_sl336_ll48_pl720_etth2_gpt55_peak_transfer_p720_gated_alpha_1p0_0
ETTm2,96,0.1700010895729065,0.1727980524301529,0.16999822854995728,0.02556241493591256,0.018820838600923807,0.018820838600923807,26.37300251909116,-2.86102294921875e-06,-0.0016829438895988808,guarded_event_mse,1,guarded_event_mse,0.03,5.0,True,1e-05,guarded,3264,7677600,0.00042513285401688027,0.04251328540168803,0.17006252706050873,0.17006252706050873,0.0,0.0,-2.866065587866429e-06,-2.86102294921875e-06,5.04263864767891e-09,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl96_ettm2_gpt55_peak_transfer_p96_baseline_0,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl96_ettm2_gpt55_peak_transfer_p96_finetune_loss_0,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl96_ettm2_gpt55_peak_transfer_p96_gated_alpha_1p0_0
ETTm2,192,0.2260628640651703,0.2413214147090912,0.22605909407138824,0.029715381416574472,0.02090693688856924,0.02090693688856924,29.642710637030927,-3.769993782043457e-06,-0.0016676749618445195,fallback_base_mse_no_guardrail_candidate,2,guarded_event_mse,0.03,5.0,True,1e-05,fallback_base_mse_no_guardrail_candidate,6528,15226176,0.0004287353567960859,0.04287353567960859,0.22614723443984985,0.22614723443984985,0.0,0.0,-3.7764916075328535e-06,-3.769993782043457e-06,6.497825489396483e-09,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl192_ettm2_gpt55_peak_transfer_p192_baseline_0,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl192_ettm2_gpt55_peak_transfer_p192_finetune_loss_0,results\long_term_forecast_DLinear_ETTm2_ftM_sl336_ll48_pl192_ettm2_gpt55_peak_transfer_p192_gated_alpha_1p0_0
